activation_id,activation_date,dealer_id,package_id,account_type,units,revenue
A001,2024-08-14,D001,SP001,PUBLIC_VENUE,3,900
A002,2024-08-14,D002,SP001,BUSINESS_HOSPITALITY,2,600
A003,2024-08-14,D003,SP002,LODGING,4,1000
A004,2024-08-14,D004,SP001,PUBLIC_INSTITUTION,1,300
A005,2024-08-14,D005,SP003,PRIVATE_TRANSPORT,2,500
A006,2024-08-07,D001,SP001,PUBLIC_VENUE,2,600
A007,2024-08-07,D002,SP001,BUSINESS_HOSPITALITY,1,300
A008,2024-08-07,D003,SP002,LODGING,3,750
A009,2024-08-07,D004,SP001,PUBLIC_INSTITUTION,2,600
A010,2024-08-07,D005,SP003,PRIVATE_TRANSPORT,1,250
A011,2024-08-01,D001,SP001,PUBLIC_VENUE,1,300
A012,2024-08-02,D002,SP001,BUSINESS_HOSPITALITY,2,600
A013,2024-08-03,D003,SP002,LODGING,1,250
A014,2024-08-04,D004,SP001,PUBLIC_INSTITUTION,1,300
A015,2024-08-05,D005,SP003,PRIVATE_TRANSPORT,1,250
A016,2024-08-06,D006,SP001,BUSINESS_VENUE,2,600
A017,2024-07-14,D001,SP001,PUBLIC_VENUE,1,300
A018,2024-07-14,D002,SP001,BUSINESS_HOSPITALITY,1,300
A019,2024-07-14,D003,SP002,LODGING,2,500
A020,2024-07-14,D004,SP001,PUBLIC_INSTITUTION,1,300
A021,2024-07-14,D005,SP003,PRIVATE_TRANSPORT,1,250
A022,2024-07-01,D001,SP001,PUBLIC_VENUE,1,300
A023,2024-07-02,D002,SP001,BUSINESS_HOSPITALITY,1,300
A024,2024-07-03,D003,SP002,LODGING,1,250
A025,2024-07-04,D004,SP001,PUBLIC_INSTITUTION,1,300
A026,2024-07-05,D005,SP003,PRIVATE_TRANSPORT,1,250
A027,2024-07-06,D006,SP001,BUSINESS_VENUE,1,300
A028,2023-08-14,D001,SP001,PUBLIC_VENUE,2,600
A029,2023-08-14,D002,SP001,BUSINESS_HOSPITALITY,1,300
A030,2023-08-14,D003,SP002,LODGING,2,500
A031,2023-08-14,D004,SP001,PUBLIC_INSTITUTION,1,300
A032,2023-08-14,D005,SP003,PRIVATE_TRANSPORT,1,250
A033,2023-08-01,D001,SP001,PUBLIC_VENUE,1,300
A034,2023-08-02,D002,SP001,BUSINESS_HOSPITALITY,1,300
A035,2023-08-03,D003,SP002,LODGING,1,250
A036,2023-08-04,D004,SP001,PUBLIC_INSTITUTION,1,300
A037,2023-08-05,D005,SP003,PRIVATE_TRANSPORT,1,250
A038,2023-08-06,D006,SP001,BUSINESS_VENUE,1,300
